frame_idx,time_s,cell_idx,density,acceleration,entropy,score,category
7,0.292,4,14.0,-7.0,0.0,0.0,Green
7,0.292,5,18.0,8.0,0.0,0.0,Green
7,0.292,6,5.0,-4.0,0.0,0.0,Green
7,0.292,7,11.0,-8.0,0.0,0.0,Green
7,0.292,8,8.0,0.0,0.0,0.0,Green
7,0.292,9,3.0,-1.0,0.0,0.0,Green
7,0.292,10,9.0,-2.0,0.0,0.0,Green
7,0.292,11,13.0,-3.0,0.0,0.0,Green
7,0.292,12,14.0,9.0,0.0,0.0,Green
7,0.292,13,7.0,2.0,0.0,0.0,Green
7,0.292,14,2.0,2.0,0.0,0.0,Green
7,0.292,15,1.0,-5.0,0.0,0.0,Green
8,0.334,0,14.0,-6.0,0.0,0.0,Green
8,0.334,1,22.0,2.0,0.0,0.0,Green
8,0.334,2,7.0,3.0,0.0,0.0,Green
8,0.334,3,7.0,-2.0,0.0,0.0,Green
8,0.334,4,12.0,2.0,0.0,0.0,Green
8,0.334,5,14.0,-6.0,0.0,0.0,Green
8,0.334,6,10.0,9.0,0.0,0.0,Green
8,0.334,7,8.0,4.0,0.0,0.0,Green
8,0.334,8,11.0,4.0,0.0,0.0,Green
8,0.334,9,4.0,3.0,0.0,0.0,Green
8,0.334,10,5.0,-3.0,0.0,0.0,Green
8,0.334,11,13.0,-1.0,0.0,0.0,Green
8,0.334,12,9.0,-13.0,0.0,0.0,Green
8,0.334,13,1.0,-7.0,0.0,0.0,Green
8,0.334,14,1.0,-2.0,0.0,0.0,Green
8,0.334,15,1.0,3.0,0.0,0.0,Green
9,0.375,0,11.0,-2.0,0.0,0.0,Green
9,0.375,1,15.0,-10.0,0.0,0.0,Green
9,0.375,2,4.0,-4.0,0.0,0.0,Green
9,0.375,3,8.0,5.0,0.0,0.0,Green
9,0.375,4,14.0,4.0,0.0,0.0,Green
9,0.375,5,16.0,6.0,0.0,0.0,Green
9,0.375,6,14.0,-1.0,0.0,0.0,Green
9,0.375,7,5.0,0.0,0.0,0.0,Green
9,0.375,8,15.0,1.0,0.0,0.0,Green
9,0.375,9,4.0,-1.0,0.0,0.0,Green
9,0.375,10,7.0,6.0,0.0,0.0,Green
9,0.375,11,13.0,0.0,0.0,0.0,Green
9,0.375,12,9.0,5.0,0.0,0.0,Green
9,0.375,13,2.0,7.0,0.0,0.0,Green
9,0.375,14,3.0,3.0,0.0,0.0,Green
9,0.375,15,1.0,0.0,0.0,0.0,Green
10,0.417,0,16.0,8.0,0.0,0.0,Green
10,0.417,1,16.0,8.0,0.0,0.0,Green
10,0.417,2,5.0,4.0,0.0,0.0,Green
10,0.417,3,5.0,-4.0,0.0,0.0,Green
10,0.417,4,22.0,6.0,0.0,0.0,Green
10,0.417,5,13.0,-5.0,0.0,0.0,Green
10,0.417,6,14.0,-4.0,0.0,0.0,Green
10,0.417,7,12.0,10.0,0.0,0.0,Green
10,0.417,8,32.0,13.0,0.0,0.0,Green
10,0.417,9,1.0,-3.0,0.0,0.0,Green
10,0.417,10,4.0,-5.0,0.0,0.0,Green
10,0.417,11,8.0,-5.0,0.0,0.0,Green
10,0.417,12,9.0,0.0,0.0,0.0,Green
10,0.417,13,5.0,2.0,0.0,0.0,Green
10,0.417,14,1.0,-4.0,0.0,0.0,Green
10,0.417,15,1.0,0.0,0.0,0.0,Green
11,0.459,0,22.0,1.0,0.0,0.0,Green
11,0.459,1,19.0,2.0,0.0,0.0,Green
11,0.459,2,7.0,1.0,0.0,0.0,Green
11,0.459,3,6.0,4.0,0.0,0.0,Green
11,0.459,4,20.0,-10.0,0.0,0.0,Green
11,0.459,5,17.0,7.0,0.0,0.0,Green
11,0.459,6,16.0,2.0,0.0,0.0,Green
11,0.459,7,10.0,-9.0,0.0,0.0,Green
11,0.459,8,42.0,-7.0,0.0,0.0,Green
11,0.459,9,9.0,11.0,0.0,0.0,Green
11,0.459,10,4.0,3.0,0.0,0.0,Green
11,0.459,11,10.0,7.0,0.0,0.0,Green
11,0.459,12,8.0,-1.0,0.0,0.0,Green
11,0.459,13,8.0,0.0,0.0,0.0,Green
11,0.459,14,2.0,3.0,0.0,0.0,Green
11,0.459,15,1.0,0.0,0.0,0.0,Green
12,0.500,0,23.0,-5.0,0.0,0.0,Green
12,0.500,1,21.0,-1.0,0.0,0.0,Green
12,0.500,2,6.0,-3.0,0.0,0.0,Green
12,0.500,3,7.0,0.0,0.0,0.0,Green
12,0.500,4,25.0,7.0,0.0,0.0,Green
12,0.500,5,21.0,0.0,0.0,0.0,Green
12,0.500,6,11.0,-7.0,0.0,0.0,Green
12,0.500,7,13.0,5.0,0.0,0.0,Green
12,0.500,8,28.0,-24.0,0.0,0.0,Green
12,0.500,9,9.0,-8.0,0.0,0.0,Green
12,0.500,10,8.0,4.0,0.0,0.0,Green
12,0.500,11,10.0,-2.0,0.0,0.0,Green
12,0.500,12,7.0,0.0,0.0,0.0,Green
12,0.500,13,7.0,-4.0,0.0,0.0,Green
12,0.500,14,1.0,-2.0,0.0,0.0,Green
12,0.500,15,2.0,1.0,0.0,0.0,Green
13,0.542,0,13.0,-11.0,0.0,0.0,Green
13,0.542,1,22.0,-1.0,0.0,0.0,Green
13,0.542,2,4.0,-1.0,0.0,0.0,Green
13,0.542,3,7.0,-1.0,0.0,0.0,Green
13,0.542,4,28.0,-2.0,0.0,0.0,Green
13,0.542,5,11.0,-14.0,0.0,0.0,Green
13,0.542,6,20.0,14.0,0.0,0.0,Green
13,0.542,7,16.0,0.0,0.0,0.0,Green
