frame_idx,time_s,cell_idx,density,acceleration,entropy,score,category
1,0.040,0,0.0,0.0,0.0,0.0,Green
1,0.040,1,0.0,0.0,0.0,0.0,Green
1,0.040,2,0.0,0.0,0.0,0.0,Green
1,0.040,3,0.0,0.0,0.0,0.0,Green
1,0.040,4,0.0,0.0,0.0,0.0,Green
1,0.040,5,1.0,0.0,0.0,0.0,Green
1,0.040,6,0.0,0.0,0.0,0.0,Green
1,0.040,7,0.0,0.0,0.0,0.0,Green
1,0.040,8,0.0,0.0,0.0,0.0,Green
1,0.040,9,0.0,0.0,0.0,0.0,Green
1,0.040,10,0.0,0.0,0.0,0.0,Green
1,0.040,11,0.0,0.0,0.0,0.0,Green
1,0.040,12,0.0,0.0,0.0,0.0,Green
1,0.040,13,0.0,0.0,0.0,0.0,Green
1,0.040,14,0.0,0.0,0.0,0.0,Green
1,0.040,15,0.0,0.0,0.0,0.0,Green
2,0.080,0,2.0,0.0,0.0,0.0,Green
2,0.080,1,4.0,0.0,0.0,0.0,Green
2,0.080,2,1.0,0.0,0.0,0.0,Green
2,0.080,3,3.0,0.0,0.0,0.0,Green
2,0.080,4,2.0,0.0,0.0,0.0,Green
2,0.080,5,3.0,0.0,0.0,0.0,Green
2,0.080,6,1.0,0.0,0.0,0.0,Green
2,0.080,7,2.0,0.0,0.0,0.0,Green
2,0.080,8,1.0,0.0,0.0,0.0,Green
2,0.080,9,2.0,0.0,0.0,0.0,Green
2,0.080,10,2.0,0.0,0.0,0.0,Green
2,0.080,11,3.0,0.0,0.0,0.0,Green
2,0.080,12,2.0,0.0,0.0,0.0,Green
2,0.080,13,0.0,0.0,0.0,0.0,Green
2,0.080,14,2.0,0.0,0.0,0.0,Green
2,0.080,15,0.0,0.0,0.0,0.0,Green
3,0.120,0,3.0,-1.0,0.0,0.0,Green
3,0.120,1,0.0,-8.0,0.0,0.0,Green
3,0.120,2,0.0,-2.0,0.0,0.0,Green
3,0.120,3,0.0,-6.0,0.0,0.0,Green
3,0.120,4,1.0,-3.0,0.0,0.0,Green
3,0.120,5,1.0,-4.0,0.0,0.0,Green
3,0.120,6,0.0,-2.0,0.0,0.0,Green
3,0.120,7,1.0,-3.0,0.0,0.0,Green
3,0.120,8,1.0,-1.0,0.0,0.0,Green
3,0.120,9,3.0,-1.0,0.0,0.0,Green
3,0.120,10,0.0,-4.0,0.0,0.0,Green
3,0.120,11,3.0,-3.0,0.0,0.0,Green
3,0.120,12,1.0,-3.0,0.0,0.0,Green
3,0.120,13,0.0,0.0,0.0,0.0,Green
3,0.120,14,2.0,-2.0,0.0,0.0,Green
3,0.120,15,0.0,0.0,0.0,0.0,Green
4,0.160,0,0.0,-4.0,0.0,0.0,Green
4,0.160,1,0.0,4.0,0.0,0.0,Green
4,0.160,2,0.0,1.0,0.0,0.0,Green
4,0.160,3,0.0,3.0,0.0,0.0,Green
4,0.160,4,1.0,1.0,0.0,0.0,Green
4,0.160,5,0.0,1.0,0.0,0.0,Green
4,0.160,6,0.0,1.0,0.0,0.0,Green
4,0.160,7,0.0,0.0,0.0,0.0,Green
4,0.160,8,0.0,-1.0,0.0,0.0,Green
4,0.160,9,2.0,-2.0,0.0,0.0,Green
4,0.160,10,0.0,2.0,0.0,0.0,Green
4,0.160,11,3.0,0.0,0.0,0.0,Green
4,0.160,12,0.0,0.0,0.0,0.0,Green
4,0.160,13,0.0,0.0,0.0,0.0,Green
4,0.160,14,1.0,-1.0,0.0,0.0,Green
4,0.160,15,0.0,0.0,0.0,0.0,Green
5,0.200,0,0.0,3.0,0.0,0.0,Green
5,0.200,1,0.0,0.0,0.0,0.0,Green
5,0.200,2,0.0,0.0,0.0,0.0,Green
5,0.200,3,1.0,1.0,0.0,0.0,Green
5,0.200,4,0.0,-1.0,0.0,0.0,Green
5,0.200,5,0.0,1.0,0.0,0.0,Green
5,0.200,6,0.0,0.0,0.0,0.0,Green
5,0.200,7,0.0,1.0,0.0,0.0,Green
5,0.200,8,0.0,1.0,0.0,0.0,Green
5,0.200,9,1.0,0.0,0.0,0.0,Green
5,0.200,10,0.0,0.0,0.0,0.0,Green
5,0.200,11,3.0,0.0,0.0,0.0,Green
5,0.200,12,0.0,1.0,0.0,0.0,Green
5,0.200,13,0.0,0.0,0.0,0.0,Green
5,0.200,14,1.0,1.0,0.0,0.0,Green
5,0.200,15,0.0,0.0,0.0,0.0,Green
6,0.240,0,0.0,0.0,0.0,0.0,Green
6,0.240,1,1.0,1.0,0.0,0.0,Green
6,0.240,2,0.0,0.0,0.0,0.0,Green
6,0.240,3,0.0,-2.0,0.0,0.0,Green
6,0.240,4,0.0,1.0,0.0,0.0,Green
6,0.240,5,0.0,0.0,0.0,0.0,Green
6,0.240,6,0.0,0.0,0.0,0.0,Green
6,0.240,7,2.0,2.0,0.0,0.0,Green
6,0.240,8,0.0,0.0,0.0,0.0,Green
6,0.240,9,1.0,1.0,0.0,0.0,Green
6,0.240,10,0.0,0.0,0.0,0.0,Green
6,0.240,11,3.0,0.0,0.0,0.0,Green
6,0.240,12,0.0,0.0,0.0,0.0,Green
6,0.240,13,0.0,0.0,0.0,0.0,Green
6,0.240,14,3.0,2.0,0.0,0.0,Green
6,0.240,15,0.0,0.0,0.0,0.0,Green
7,0.280,0,1.0,1.0,0.0,0.0,Green
7,0.280,1,1.0,-1.0,0.0,0.0,Green
7,0.280,2,0.0,0.0,0.0,0.0,Green
7,0.280,3,0.0,1.0,0.0,0.0,Green
7,0.280,4,0.0,0.0,0.0,0.0,Green
7,0.280,5,0.0,0.0,0.0,0.0,Green
7,0.280,6,0.0,0.0,0.0,0.0,Green
7,0.280,7,1.0,-3.0,0.0,0.0,Green
7,0.280,8,0.0,0.0,0.0,0.0,Green
7,0.280,9,2.0,1.0,0.0,0.0,Green
7,0.280,10,0.0,0.0,0.0,0.0,Green
7,0.280,11,2.0,-1.0,0.0,0.0,Green
7,0.280,12,0.0,0.0,0.0,0.0,Green
7,0.280,13,0.0,0.0,0.0,0.0,Green
7,0.280,14,3.0,-2.0,0.0,0.0,Green
7,0.280,15,0.0,0.0,0.0,0.0,Green
8,0.320,0,2.0,0.0,0.0,0.0,Green
8,0.320,1,0.0,-1.0,0.0,0.0,Green
8,0.320,2,0.0,0.0,0.0,0.0,Green
8,0.320,3,1.0,1.0,0.0,0.0,Green
8,0.320,4,2.0,2.0,0.0,0.0,Green
8,0.320,5,0.0,0.0,0.0,0.0,Green
8,0.320,6,1.0,1.0,0.0,0.0,Green
8,0.320,7,2.0,2.0,0.0,0.0,Green
8,0.320,8,1.0,1.0,0.0,0.0,Green
8,0.320,9,3.0,0.0,0.0,0.0,Green
8,0.320,10,2.0,2.0,0.0,0.0,Green
8,0.320,11,3.0,2.0,0.0,0.0,Green
8,0.320,12,1.0,1.0,0.0,0.0,Green
8,0.320,13,0.0,0.0,0.0,0.0,Green
8,0.320,14,2.0,-1.0,0.0,0.0,Green
8,0.320,15,1.0,1.0,0.0,0.0,Green
9,0.360,0,0.0,-3.0,0.0,0.0,Green
9,0.360,1,0.0,1.0,0.0,0.0,Green
9,0.360,2,0.0,0.0,0.0,0.0,Green
9,0.360,3,0.0,-2.0,0.0,0.0,Green
9,0.360,4,0.0,-4.0,0.0,0.0,Green
9,0.360,5,0.0,0.0,0.0,0.0,Green
9,0.360,6,0.0,-2.0,0.0,0.0,Green
9,0.360,7,1.0,-2.0,0.0,0.0,Green
9,0.360,8,0.0,-2.0,0.0,0.0,Green
9,0.360,9,1.0,-3.0,0.0,0.0,Green
9,0.360,10,1.0,-3.0,0.0,0.0,Green
9,0.360,11,2.0,-2.0,0.0,0.0,Green
9,0.360,12,0.0,-2.0,0.0,0.0,Green
9,0.360,13,0.0,0.0,0.0,0.0,Green
9,0.360,14,2.0,1.0,0.0,0.0,Green
9,0.360,15,0.0,-2.0,0.0,0.0,Green
10,0.400,0,1.0,3.0,0.0,0.0,Green
