frame_idx,time_s,cell_idx,density,acceleration,entropy,score,category
10,0.333,9,4.0,-5.0,0.0,0.0,Green
10,0.333,10,3.0,0.0,0.0,0.0,Green
10,0.333,11,1.0,-1.0,0.0,0.0,Green
10,0.333,12,0.0,-12.0,0.0,0.0,Green
10,0.333,13,10.0,8.0,0.0,0.0,Green
10,0.333,14,1.0,-10.0,0.0,0.0,Green
10,0.333,15,6.0,-3.0,0.0,0.0,Green
11,0.367,0,0.0,0.0,0.0,0.0,Green
11,0.367,1,0.0,0.0,0.0,0.0,Green
11,0.367,2,0.0,0.0,0.0,0.0,Green
11,0.367,3,0.0,-2.0,0.0,0.0,Green
11,0.367,4,0.0,2.0,0.0,0.0,Green
11,0.367,5,3.0,4.0,0.0,0.0,Green
11,0.367,6,0.0,1.0,0.0,0.0,Green
11,0.367,7,7.0,3.0,0.0,0.0,Green
11,0.367,8,1.0,3.0,0.0,0.0,Green
11,0.367,9,6.0,4.0,0.0,0.0,Green
11,0.367,10,5.0,3.0,0.0,0.0,Green
11,0.367,11,0.0,0.0,0.0,0.0,Green
11,0.367,12,4.0,11.0,0.0,0.0,Green
11,0.367,13,5.0,-12.0,0.0,0.0,Green
11,0.367,14,2.0,10.0,0.0,0.0,Green
11,0.367,15,7.0,2.0,0.0,0.0,Green
12,0.400,0,0.0,0.0,0.0,0.0,Green
12,0.400,1,0.0,0.0,0.0,0.0,Green
12,0.400,2,0.0,0.0,0.0,0.0,Green
12,0.400,3,0.0,1.0,0.0,0.0,Green
12,0.400,4,1.0,1.0,0.0,0.0,Green
12,0.400,5,1.0,-5.0,0.0,0.0,Green
12,0.400,6,2.0,4.0,0.0,0.0,Green
12,0.400,7,4.0,-5.0,0.0,0.0,Green
12,0.400,8,0.0,-2.0,0.0,0.0,Green
12,0.400,9,1.0,-7.0,0.0,0.0,Green
12,0.400,10,5.0,-2.0,0.0,0.0,Green
12,0.400,11,1.0,2.0,0.0,0.0,Green
12,0.400,12,8.0,0.0,0.0,0.0,Green
12,0.400,13,8.0,8.0,0.0,0.0,Green
12,0.400,14,2.0,-1.0,0.0,0.0,Green
12,0.400,15,6.0,-2.0,0.0,0.0,Green
13,0.433,0,0.0,0.0,0.0,0.0,Green
13,0.433,1,0.0,0.0,0.0,0.0,Green
13,0.433,2,0.0,0.0,0.0,0.0,Green
13,0.433,3,0.0,0.0,0.0,0.0,Green
13,0.433,4,0.0,-2.0,0.0,0.0,Green
13,0.433,5,1.0,2.0,0.0,0.0,Green
13,0.433,6,2.0,-2.0,0.0,0.0,Green
13,0.433,7,3.0,2.0,0.0,0.0,Green
13,0.433,8,0.0,1.0,0.0,0.0,Green
13,0.433,9,3.0,7.0,0.0,0.0,Green
13,0.433,10,8.0,3.0,0.0,0.0,Green
13,0.433,11,1.0,-1.0,0.0,0.0,Green
13,0.433,12,2.0,-10.0,0.0,0.0,Green
13,0.433,13,6.0,-5.0,0.0,0.0,Green
13,0.433,14,0.0,-2.0,0.0,0.0,Green
13,0.433,15,3.0,-2.0,0.0,0.0,Green
14,0.467,0,0.0,0.0,0.0,0.0,Green
14,0.467,1,0.0,0.0,0.0,0.0,Green
14,0.467,2,0.0,0.0,0.0,0.0,Green
14,0.467,3,0.0,0.0,0.0,0.0,Green
14,0.467,4,1.0,2.0,0.0,0.0,Green
14,0.467,5,4.0,3.0,0.0,0.0,Green
14,0.467,6,2.0,0.0,0.0,0.0,Green
14,0.467,7,3.0,1.0,0.0,0.0,Green
14,0.467,8,0.0,0.0,0.0,0.0,Green
14,0.467,9,3.0,-2.0,0.0,0.0,Green
14,0.467,10,12.0,1.0,0.0,0.0,Green
14,0.467,11,2.0,1.0,0.0,0.0,Green
14,0.467,12,4.0,8.0,0.0,0.0,Green
14,0.467,13,6.0,2.0,0.0,0.0,Green
14,0.467,14,4.0,6.0,0.0,0.0,Green
14,0.467,15,2.0,2.0,0.0,0.0,Green
15,0.500,0,0.0,0.0,0.0,0.0,Green
15,0.500,1,0.0,0.0,0.0,0.0,Green
15,0.500,2,0.0,0.0,0.0,0.0,Green
15,0.500,3,0.0,0.0,0.0,0.0,Green
15,0.500,4,0.0,-2.0,0.0,0.0,Green
15,0.500,5,1.0,-6.0,0.0,0.0,Green
15,0.500,6,1.0,-1.0,0.0,0.0,Green
15,0.500,7,3.0,0.0,0.0,0.0,Green
15,0.500,8,0.0,0.0,0.0,0.0,Green
15,0.500,9,3.0,0.0,0.0,0.0,Green
15,0.500,10,7.0,-9.0,0.0,0.0,Green
15,0.500,11,2.0,-1.0,0.0,0.0,Green
15,0.500,12,4.0,-2.0,0.0,0.0,Green
15,0.500,13,12.0,6.0,0.0,0.0,Green
15,0.500,14,0.0,-8.0,0.0,0.0,Green
15,0.500,15,3.0,2.0,0.0,0.0,Green
16,0.533,0,0.0,0.0,0.0,0.0,Green
16,0.533,1,0.0,0.0,0.0,0.0,Green
16,0.533,2,1.0,1.0,0.0,0.0,Green
16,0.533,3,0.0,0.0,0.0,0.0,Green
16,0.533,4,1.0,2.0,0.0,0.0,Green
16,0.533,5,2.0,4.0,0.0,0.0,Green
16,0.533,6,3.0,3.0,0.0,0.0,Green
16,0.533,7,6.0,3.0,0.0,0.0,Green
16,0.533,8,0.0,0.0,0.0,0.0,Green
16,0.533,9,3.0,0.0,0.0,0.0,Green
16,0.533,10,5.0,3.0,0.0,0.0,Green
16,0.533,11,2.0,0.0,0.0,0.0,Green
16,0.533,12,1.0,-3.0,0.0,0.0,Green
16,0.533,13,10.0,-8.0,0.0,0.0,Green
16,0.533,14,4.0,8.0,0.0,0.0,Green
16,0.533,15,0.0,-4.0,0.0,0.0,Green
