frame_idx,time_s,cell_idx,density,acceleration,entropy,score
1,0.040,0,0.0,0.0,0.0,0.0
1,0.040,1,2.0,0.0,0.0,0.15
1,0.040,2,0.0,0.0,0.0,0.0
1,0.040,3,1.0,0.0,0.0,0.075
1,0.040,4,0.0,0.0,0.0,0.0
1,0.040,5,1.0,0.0,0.0,0.075
1,0.040,6,1.0,0.0,0.0,0.075
1,0.040,7,1.0,0.0,0.0,0.075
1,0.040,8,4.0,0.0,0.0,0.3
1,0.040,9,0.0,0.0,0.0,0.0
1,0.040,10,1.0,0.0,0.0,0.075
1,0.040,11,0.0,0.0,0.0,0.0
1,0.040,12,0.0,0.0,0.0,0.0
1,0.040,13,0.0,0.0,0.0,0.0
1,0.040,14,3.0,0.0,0.0,0.22499999999999998
1,0.040,15,1.0,0.0,0.0,0.075
1,0.040,16,2.0,0.0,0.0,0.15
1,0.040,17,0.0,0.0,0.0,0.0
1,0.040,18,1.0,0.0,0.0,0.075
1,0.040,19,4.0,0.0,0.0,0.3
1,0.040,20,0.0,0.0,0.0,0.0
1,0.040,21,0.0,0.0,0.0,0.0
1,0.040,22,0.0,0.0,0.0,0.0
1,0.040,23,2.0,0.0,0.0,0.15
1,0.040,24,1.0,0.0,0.0,0.075
1,0.040,25,0.0,0.0,0.0,0.0
1,0.040,26,0.0,0.0,0.0,0.0
1,0.040,27,0.0,0.0,0.0,0.0
1,0.040,28,0.0,0.0,0.0,0.0
1,0.040,29,0.0,0.0,0.0,0.0
1,0.040,30,0.0,0.0,0.0,0.0
1,0.040,31,0.0,0.0,0.0,0.0
1,0.040,32,0.0,0.0,0.0,0.0
1,0.040,33,1.0,0.0,0.0,0.075
1,0.040,34,0.0,0.0,0.0,0.0
1,0.040,35,0.0,0.0,0.0,0.0
1,0.040,36,0.0,0.0,0.0,0.0
1,0.040,37,1.0,0.0,0.0,0.075
1,0.040,38,0.0,0.0,0.0,0.0
1,0.040,39,0.0,0.0,0.0,0.0
1,0.040,40,0.0,0.0,0.0,0.0
1,0.040,41,1.0,0.0,0.0,0.075
1,0.040,42,0.0,0.0,0.0,0.0
1,0.040,43,0.0,0.0,0.0,0.0
1,0.040,44,1.0,0.0,0.0,0.075
1,0.040,45,0.0,0.0,0.0,0.0
1,0.040,46,0.0,0.0,0.0,0.0
1,0.040,47,0.0,0.0,0.0,0.0
1,0.040,48,0.0,0.0,0.0,0.0
1,0.040,49,0.0,0.0,0.0,0.0
1,0.040,50,0.0,0.0,0.0,0.0
1,0.040,51,1.0,0.0,0.0,0.075
1,0.040,52,0.0,0.0,0.0,0.0
1,0.040,53,0.0,0.0,0.0,0.0
1,0.040,54,0.0,0.0,0.0,0.0
1,0.040,55,0.0,0.0,0.0,0.0
1,0.040,56,0.0,0.0,0.0,0.0
1,0.040,57,1.0,0.0,0.0,0.075
1,0.040,58,0.0,0.0,0.0,0.0
1,0.040,59,0.0,0.0,0.0,0.0
1,0.040,60,0.0,0.0,0.0,0.0
1,0.040,61,0.0,0.0,0.0,0.0
1,0.040,62,0.0,0.0,0.0,0.0
1,0.040,63,1.0,0.0,0.0,0.075
1,0.040,64,0.0,0.0,0.0,0.0
1,0.040,65,0.0,0.0,0.0,0.0
1,0.040,66,0.0,0.0,0.0,0.0
1,0.040,67,0.0,0.0,0.0,0.0
1,0.040,68,0.0,0.0,0.0,0.0
1,0.040,69,0.0,0.0,0.0,0.0
1,0.040,70,0.0,0.0,0.0,0.0
1,0.040,71,0.0,0.0,0.0,0.0
1,0.040,72,0.0,0.0,0.0,0.0
1,0.040,73,0.0,0.0,0.0,0.0
1,0.040,74,0.0,0.0,0.0,0.0
1,0.040,75,0.0,0.0,0.0,0.0
1,0.040,76,0.0,0.0,0.0,0.0
1,0.040,77,1.0,0.0,0.0,0.075
1,0.040,78,0.0,0.0,0.0,0.0
1,0.040,79,1.0,0.0,0.0,0.075
1,0.040,80,1.0,0.0,0.0,0.075
1,0.040,81,0.0,0.0,0.0,0.0
1,0.040,82,0.0,0.0,0.0,0.0
1,0.040,83,0.0,0.0,0.0,0.0
1,0.040,84,0.0,0.0,0.0,0.0
1,0.040,85,0.0,0.0,0.0,0.0
1,0.040,86,0.0,0.0,0.0,0.0
1,0.040,87,0.0,0.0,0.0,0.0
1,0.040,88,0.0,0.0,0.0,0.0
1,0.040,89,0.0,0.0,0.0,0.0
1,0.040,90,0.0,0.0,0.0,0.0
1,0.040,91,0.0,0.0,0.0,0.0
1,0.040,92,0.0,0.0,0.0,0.0
1,0.040,93,0.0,0.0,0.0,0.0
1,0.040,94,0.0,0.0,0.0,0.0
1,0.040,95,0.0,0.0,0.0,0.0
1,0.040,96,1.0,0.0,0.0,0.075
1,0.040,97,0.0,0.0,0.0,0.0
1,0.040,98,0.0,0.0,0.0,0.0
1,0.040,99,0.0,0.0,0.0,0.0
2,0.080,0,0.0,0.0,0.4197656589243829,0.09994889351284643
2,0.080,1,2.0,0.0,0.6187545393659453,0.24334423356936397
2,0.080,2,0.0,0.0,0.3504330004161871,0.08344034319466392
2,0.080,3,1.0,0.0,0.29473680643820466,0.18850631528142983
2,0.080,4,0.0,0.0,0.839960592200914,0.2
2,0.080,5,1.0,0.0,0.31997290216550206,0.1890383091807999
2,0.080,6,1.0,0.0,0.05844431578850829,0.183525110389398
2,0.080,7,0.0,0.0,0.6828917588614803,0.16260090418578504
2,0.080,8,4.0,0.0,0.49437945629354424,0.4177149168386917
2,0.080,9,0.0,0.0,0.5761705331012362,0.13718989639538218
2,0.080,10,1.0,0.0,0.02845578218087402,0.18289293189781547
2,0.080,11,0.0,0.0,0.4185835669014071,0.09966742982658505
2,0.080,12,0.0,0.0,0.6295506756372047,0.14990005042679896
2,0.080,13,0.0,0.0,0.3468282775491784,0.0825820355786927
2,0.080,14,3.0,0.0,0.5746835005496731,0.30955169174617403
2,0.080,15,1.0,0.0,0.5555417248433507,0.19400425866445345
2,0.080,16,2.0,0.0,0.3839986016096402,0.28934350016943156
2,0.080,17,0.0,0.0,0.17738665937101794,0.04223690040177219
2,0.080,18,0.0,0.0,0.5729094400374756,0.1364134092377607
2,0.080,19,3.0,0.0,0.4182135585922035,0.3741692082537902
2,0.080,20,0.0,0.0,0.0,0.0
2,0.080,21,0.0,0.0,0.16904071778591706,0.04024967822430495
2,0.080,22,0.0,0.0,0.05363550716572276,0.012770957986298823
2,0.080,23,1.0,0.0,0.5039040498448278,0.19291570168742653
2,0.080,24,1.0,0.0,0.7420826335058871,0.19793666669078983
2,0.080,25,0.0,0.0,0.6029733190047355,0.14357181148815315
2,0.080,26,0.0,0.0,0.46027679752093337,0.10959485523359831
2,0.080,27,0.0,0.0,0.5512174757106709,0.1312484135157671
2,0.080,28,1.0,0.0,0.5751294316012673,0.19441718071905595
2,0.080,29,0.0,0.0,0.5306597544129009,0.126353488327931
2,0.080,30,0.0,0.0,0.0,0.0
2,0.080,31,0.0,0.0,0.01701433888223252,0.004051223126468481
2,0.080,32,0.0,0.0,0.32987868111624263,0.07854622804431222
2,0.080,33,1.0,0.0,0.8049098036524691,0.1992611057638479
2,0.080,34,0.0,0.0,0.24098776651821452,0.057380731609506644
2,0.080,35,0.0,0.0,0.17629518657527377,0.04197701373425979
2,0.080,36,0.0,0.0,0.17192931527128388,0.04093747179752436
2,0.080,37,1.0,0.0,0.4705153961420141,0.19221184637359273
2,0.080,38,0.0,0.0,0.24598075552735107,0.058569594290803065
2,0.080,39,0.0,0.0,0.326394708907629,0.07771667193395121
2,0.080,40,0.0,0.0,0.0,0.0
2,0.080,41,1.0,0.0,0.1343567189324302,0.18512539498949973
2,0.080,42,0.0,0.0,0.3837740654845079,0.09137906445799333
2,0.080,43,0.0,0.0,0.06563614185474484,0.01562838601338693
2,0.080,44,1.0,0.0,0.030089841246045447,0.18292737896376718
2,0.080,45,0.0,0.0,0.33077203390106347,0.07875894106754584
2,0.080,46,0.0,0.0,0.3621757502024092,0.08623636717370635
2,0.080,47,0.0,0.0,0.2192206769142777,0.05219784807757775
2,0.080,48,0.0,0.0,0.24215211686313037,0.05765797088852209
2,0.080,49,0.0,0.0,0.4565710608485943,0.10871249558321779
2,0.080,50,0.0,0.0,-0.0,0.0
2,0.080,51,1.0,0.0,0.5933554394745767,0.19480139724380083
2,0.080,52,1.0,0.0,0.11115549026133817,0.1846362974585548
2,0.080,53,0.0,0.0,0.20448283565894096,0.04868867362530498
2,0.080,54,0.0,0.0,0.2007104883368215,0.04779045355232872
2,0.080,55,0.0,0.0,0.3086677159497948,0.07349576130494541
2,0.080,56,0.0,0.0,0.4334175408392744,0.10319949408664718
2,0.080,57,1.0,0.0,0.3331714816449644,0.18931654412804766
2,0.080,58,0.0,0.0,0.34911985385535393,0.08312767458305863
2,0.080,59,0.0,0.0,0.09617950456480347,0.022900956415773815
2,0.080,60,0.0,0.0,-0.0,0.0
2,0.080,61,0.0,0.0,0.3096130487294405,0.0737208510980674
2,0.080,62,0.0,0.0,-0.0,0.0
2,0.080,63,1.0,0.0,0.005253800610564003,0.1824038184952478
2,0.080,64,0.0,0.0,0.34209285397876277,0.08145450087899743
